Age,Gender,MaritalStatus,IncomeLevel,AmountSpent,ProductCategory,InteractionType,ResolutionStatus,LoginFrequency,ServiceUsage,ChurnStatus
62,M,Single,Low,416.5,Electronics,Inquiry,Resolved,34,Mobile App,0
65,M,Married,Low,54.96,Clothing,Inquiry,Resolved,5,Website,1
65,M,Married,Low,197.5,Electronics,Inquiry,Resolved,5,Website,1
65,M,Married,Low,101.31,Furniture,Inquiry,Resolved,5,Website,1
65,M,Married,Low,397.37,Clothing,Inquiry,Resolved,5,Website,1
65,M,Married,Low,285.21,Electronics,Inquiry,Resolved,5,Website,1
65,M,Married,Low,311.34,Electronics,Inquiry,Resolved,5,Website,1
65,M,Married,Low,199.73,Groceries,Inquiry,Resolved,5,Website,1
18,M,Single,Low,241.06,Books,Inquiry,Resolved,3,Website,0
18,M,Single,Low,51.07,Clothing,Inquiry,Resolved,3,Website,0
18,M,Single,Low,419.95,Furniture,Inquiry,Resolved,3,Website,0
18,M,Single,Low,287.72,Groceries,Inquiry,Resolved,3,Website,0
18,M,Single,Low,299.86,Groceries,Inquiry,Resolved,3,Website,0
18,M,Single,Low,403.32,Furniture,Inquiry,Resolved,3,Website,0
21,M,Widowed,Low,125.64,Electronics,Inquiry,Resolved,2,Website,0
21,M,Widowed,Low,125.64,Electronics,Inquiry,Unresolved,2,Website,0
21,M,Widowed,Low,123.59,Groceries,Inquiry,Resolved,2,Website,0
21,M,Widowed,Low,123.59,Groceries,Inquiry,Unresolved,2,Website,0
21,M,Widowed,Low,241.45,Electronics,Inquiry,Resolved,2,Website,0
21,M,Widowed,Low,241.45,Electronics,Inquiry,Unresolved,2,Website,0
21,M,Widowed,Low,44.22,Clothing,Inquiry,Resolved,2,Website,0
21,M,Widowed,Low,44.22,Clothing,Inquiry,Unresolved,2,Website,0
21,M,Widowed,Low,382.39,Furniture,Inquiry,Resolved,2,Website,0
21,M,Widowed,Low,382.39,Furniture,Inquiry,Unresolved,2,Website,0
21,M,Divorced,Medium,475.69,Groceries,None,No Issue,41,Website,0
21,M,Divorced,Medium,178.91,Furniture,None,No Issue,41,Website,0
21,M,Divorced,Medium,373.51,Groceries,None,No Issue,41,Website,0
21,M,Divorced,Medium,155.76,Electronics,None,No Issue,41,Website,0
21,M,Divorced,Medium,308.8,Electronics,None,No Issue,41,Website,0
21,M,Divorced,Medium,219.98,Furniture,None,No Issue,41,Website,0
21,M,Divorced,Medium,218.98,Electronics,None,No Issue,41,Website,0
21,M,Divorced,Medium,69.86,Groceries,None,No Issue,41,Website,0
57,F,Divorced,Medium,365.57,Books,Feedback,Resolved,2,Website,0
57,F,Divorced,Medium,448.86,Clothing,Feedback,Resolved,2,Website,0
57,F,Divorced,Medium,41.7,Furniture,Feedback,Resolved,2,Website,0
57,F,Divorced,Medium,104,Furniture,Feedback,Resolved,2,Website,0
57,F,Divorced,Medium,204.16,Electronics,Feedback,Resolved,2,Website,0
27,F,Married,High,86.73,Books,None,No Issue,32,Mobile App,0
37,M,Single,Low,263.24,Books,Inquiry,Unresolved,17,Online Banking,1
37,M,Single,Low,263.24,Books,Feedback,Unresolved,17,Online Banking,1
37,M,Single,Low,483.91,Clothing,Inquiry,Unresolved,17,Online Banking,1
37,M,Single,Low,483.91,Clothing,Feedback,Unresolved,17,Online Banking,1
37,M,Single,Low,240.92,Books,Inquiry,Unresolved,17,Online Banking,1
37,M,Single,Low,240.92,Books,Feedback,Unresolved,17,Online Banking,1
37,M,Single,Low,346.24,Clothing,Inquiry,Unresolved,17,Online Banking,1
37,M,Single,Low,346.24,Clothing,Feedback,Unresolved,17,Online Banking,1
37,M,Single,Low,253.68,Furniture,Inquiry,Unresolved,17,Online Banking,1
37,M,Single,Low,253.68,Furniture,Feedback,Unresolved,17,Online Banking,1
37,M,Single,Low,161.56,Electronics,Inquiry,Unresolved,17,Online Banking,1
37,M,Single,Low,161.56,Electronics,Feedback,Unresolved,17,Online Banking,1
37,M,Single,Low,297.33,Furniture,Inquiry,Unresolved,17,Online Banking,1
37,M,Single,Low,297.33,Furniture,Feedback,Unresolved,17,Online Banking,1
39,M,Divorced,High,96.67,Electronics,Inquiry,Resolved,24,Website,0
39,M,Divorced,High,472.21,Clothing,Inquiry,Resolved,24,Website,0
39,M,Divorced,High,44.26,Groceries,Inquiry,Resolved,24,Website,0
39,M,Divorced,High,378.14,Groceries,Inquiry,Resolved,24,Website,0
39,M,Divorced,High,325.96,Clothing,Inquiry,Resolved,24,Website,0
68,M,Married,High,5.86,Furniture,None,No Issue,29,Online Banking,1
68,M,Married,High,35.29,Clothing,None,No Issue,29,Online Banking,1
68,M,Married,High,303.4,Groceries,None,No Issue,29,Online Banking,1
68,M,Married,High,223.85,Furniture,None,No Issue,29,Online Banking,1
68,M,Married,High,471.18,Furniture,None,No Issue,29,Online Banking,1
68,M,Married,High,179,Groceries,None,No Issue,29,Online Banking,1
68,M,Married,High,178.78,Electronics,None,No Issue,29,Online Banking,1
54,M,Divorced,Medium,334.62,Books,Feedback,Resolved,30,Online Banking,0
54,M,Divorced,Medium,334.62,Books,Feedback,Unresolved,30,Online Banking,0
54,M,Divorced,Medium,462,Groceries,Feedback,Resolved,30,Online Banking,0
54,M,Divorced,Medium,462,Groceries,Feedback,Unresolved,30,Online Banking,0
54,M,Divorced,Medium,163.78,Books,Feedback,Resolved,30,Online Banking,0
54,M,Divorced,Medium,163.78,Books,Feedback,Unresolved,30,Online Banking,0
54,M,Divorced,Medium,426.06,Books,Feedback,Resolved,30,Online Banking,0
54,M,Divorced,Medium,426.06,Books,Feedback,Unresolved,30,Online Banking,0
54,M,Divorced,Medium,347.37,Groceries,Feedback,Resolved,30,Online Banking,0
54,M,Divorced,Medium,347.37,Groceries,Feedback,Unresolved,30,Online Banking,0
41,F,Married,Low,87.1,Electronics,Feedback,Resolved,43,Website,0
41,F,Married,Low,87.1,Electronics,Inquiry,Unresolved,43,Website,0
24,F,Divorced,Low,173.13,Electronics,Complaint,Resolved,10,Mobile App,0
24,F,Divorced,Low,54.17,Clothing,Complaint,Resolved,10,Mobile App,0
24,F,Divorced,Low,164.72,Books,Complaint,Resolved,10,Mobile App,0
42,M,Widowed,Medium,442.99,Furniture,Complaint,Unresolved,26,Online Banking,0
42,M,Widowed,Medium,442.99,Furniture,Feedback,Resolved,26,Online Banking,0
42,M,Widowed,Medium,412.2,Furniture,Complaint,Unresolved,26,Online Banking,0
42,M,Widowed,Medium,412.2,Furniture,Feedback,Resolved,26,Online Banking,0
42,M,Widowed,Medium,186.37,Groceries,Complaint,Unresolved,26,Online Banking,0
42,M,Widowed,Medium,186.37,Groceries,Feedback,Resolved,26,Online Banking,0
42,M,Widowed,Medium,150.22,Books,Complaint,Unresolved,26,Online Banking,0
42,M,Widowed,Medium,150.22,Books,Feedback,Resolved,26,Online Banking,0
42,M,Widowed,Medium,478.59,Groceries,Complaint,Unresolved,26,Online Banking,0
42,M,Widowed,Medium,478.59,Groceries,Feedback,Resolved,26,Online Banking,0
42,M,Widowed,Medium,335.44,Clothing,Complaint,Unresolved,26,Online Banking,0
42,M,Widowed,Medium,335.44,Clothing,Feedback,Resolved,26,Online Banking,0
42,M,Widowed,Medium,468.35,Furniture,Complaint,Unresolved,26,Online Banking,0
42,M,Widowed,Medium,468.35,Furniture,Feedback,Resolved,26,Online Banking,0
42,M,Widowed,Medium,213.22,Groceries,Complaint,Unresolved,26,Online Banking,0
42,M,Widowed,Medium,213.22,Groceries,Feedback,Resolved,26,Online Banking,0
42,M,Widowed,Medium,156.21,Groceries,Complaint,Unresolved,26,Online Banking,0
42,M,Widowed,Medium,156.21,Groceries,Feedback,Resolved,26,Online Banking,0
42,M,Divorced,Medium,283.39,Books,Feedback,Unresolved,44,Online Banking,0
42,M,Divorced,Medium,283.39,Books,Complaint,Unresolved,44,Online Banking,0
42,M,Divorced,Medium,383.9,Electronics,Feedback,Unresolved,44,Online Banking,0
42,M,Divorced,Medium,383.9,Electronics,Complaint,Unresolved,44,Online Banking,0
42,M,Divorced,Medium,160.79,Books,Feedback,Unresolved,44,Online Banking,0
42,M,Divorced,Medium,160.79,Books,Complaint,Unresolved,44,Online Banking,0
42,M,Divorced,Medium,273.54,Furniture,Feedback,Unresolved,44,Online Banking,0
42,M,Divorced,Medium,273.54,Furniture,Complaint,Unresolved,44,Online Banking,0
42,M,Divorced,Medium,68.63,Groceries,Feedback,Unresolved,44,Online Banking,0
42,M,Divorced,Medium,68.63,Groceries,Complaint,Unresolved,44,Online Banking,0
42,M,Divorced,Medium,406.29,Groceries,Feedback,Unresolved,44,Online Banking,0
42,M,Divorced,Medium,406.29,Groceries,Complaint,Unresolved,44,Online Banking,0
42,M,Divorced,Medium,151.88,Furniture,Feedback,Unresolved,44,Online Banking,0
42,M,Divorced,Medium,151.88,Furniture,Complaint,Unresolved,44,Online Banking,0
42,M,Divorced,Medium,185.6,Clothing,Feedback,Unresolved,44,Online Banking,0
42,M,Divorced,Medium,185.6,Clothing,Complaint,Unresolved,44,Online Banking,0
30,F,Single,Medium,52.67,Books,Inquiry,Resolved,41,Online Banking,1
30,F,Single,Medium,352.99,Books,Inquiry,Resolved,41,Online Banking,1
30,F,Single,Medium,250.51,Furniture,Inquiry,Resolved,41,Online Banking,1
30,F,Single,Medium,154.7,Books,Inquiry,Resolved,41,Online Banking,1
30,F,Single,Medium,470.53,Clothing,Inquiry,Resolved,41,Online Banking,1
30,F,Single,Medium,97.06,Electronics,Inquiry,Resolved,41,Online Banking,1
30,F,Single,Medium,159.18,Furniture,Inquiry,Resolved,41,Online Banking,1
30,F,Single,Medium,147.82,Furniture,Inquiry,Resolved,41,Online Banking,1
30,F,Single,Medium,334.33,Books,Inquiry,Resolved,41,Online Banking,1
19,M,Married,Low,67.2,Groceries,Inquiry,Unresolved,8,Online Banking,0
19,M,Married,Low,67.2,Groceries,Inquiry,Resolved,8,Online Banking,0
